Name,Nationality,Overall,Club,Value,Position
G. Nugent,England,46,Tranmere Rovers,€60K,CM
Zhang Yufeng,China PR,47,Beijing Renhe FC,€60K,CM
J. Livesey,England,47,Burton Albion,€60K,GK
S. Squire,England,47,Cambridge United,€50K,CDM
L. Watkins,England,47,Cambridge United,€60K,CM
J. Norville-Williams,England,47,Cambridge United,€50K,LB
B. Worman,England,47,Cambridge United,€60K,ST
D. Holland,Republic of Ireland,47,Cork City,€60K,CM
J. Lundstram,England,47,Crewe Alexandra,€60K,CM
K. Fujikawa,Japan,47,Júbilo Iwata,€60K,CM
J. Milli,Italy,47,Lecce,€50K,GK
L. Collins,Wales,47,Newport County,€60K,CM
C. Ehlich,Germany,47,SpVgg Unterhaching,€40K,RB
A. Kaltner,Germany,47,SpVgg Unterhaching,€60K,ST
J. Young,Scotland,47,Swindon Town,€60K,ST
D. Walker-Rice,England,47,Tranmere Rovers,€60K,RW
N. Christoffersson,Sweden,47,Trelleborgs FF,€60K,ST
N. Fuentes,Chile,47,Unión Española,€50K,RB
M. Baldisimo,Canada,47,Vancouver Whitecaps FC,€70K,CM
S. Griffin,Republic of Ireland,47,Waterford FC,€60K,CM
D. Walsh,Republic of Ireland,47,Waterford FC,€60K,RB
Y. Góez,Colombia,48,Atlético Nacional,€50K,CDM
Liu Guobo,China PR,48,Beijing Sinobo Guoan FC,€60K,CM
R. Roache,Republic of Ireland,48,Blackpool,€70K,ST
C. Maher,Republic of Ireland,48,Bray Wanderers,€50K,RB
C. Hawkins,England,48,Burton Albion,€50K,GK
K. Pilkington,England,48,Cambridge United,€0,GK
S. Adewusi,Nigeria,48,Carlisle United,€60K,CM
L. Wahlstedt,Sweden,48,Dalkurd FF,€50K,GK
E. Tweed,Republic of Ireland,48,Derry City,€50K,LCM
E. Clarke,England,48,Fleetwood Town,€40K,LB
R. Takae,Japan,48,Gamba Osaka,€60K,CDM
Wang Xin,China PR,48,Guangzhou R&F; FC,€40K,RWB
Y. Uchimura,Japan,48,Hokkaido Consadole Sapporo,€20K,CAM
T. Lawal,Austria,48,LASK Linz,€60K,GK
D. Horton,England,48,Lincoln City,€40K,CM
L. Jagne,England,48,Morecambe,€50K,CM
D. Szczepaniak,Poland,48,Morecambe,€50K,GK
Nicolas Firmino,Brazil,48,New England Revolution,€60K,CAM
T. Hillman,Wales,48,Newport County,€40K,RM
